home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Mexico,Bulgaria,2,0,114580,"Estadio Azteca, Mexico City",Round of 16,15-06-1986,2–0,Mexico,1986,,"['34&rsquor;|1:0|Manuel Negrete Arias', '61&rsquor;|2:0|Raúl Servín']",,,,,,,,,,,,,,,,,['58&rsquor;|1:0|Nikolay Arabov'],['79&rsquor;|2:0|Carlos de los Cobos|for Tomás Boy'],"['59&rsquor;|1:0|Nasko Sirakov|for Plamen Getov', '70&rsquor;|2:0|Bozhidar Iskrenov|for Atanas Pashev']"
Soviet Union,Belgium,3,4,32277,"Nou Camp - Estadio Leï¿½n, Leon",Round of 16,15-06-1986,3–4,Mexico,1986,Enzo Scifo · 56|Jan Ceulemans · 77|Stéphane Demol · 102|Nico Claesen · 110,"['27&rsquor;|1:0|Igor Belanov', '70&rsquor;|2:1|Igor Belanov']","['56&rsquor;|1:1|Enzo Scifo', '77&rsquor;|2:2|Jan Ceulemans', '102&rsquor;|2:3|Stéphane Demol', '110&rsquor;|2:4|Nico Claesen']",,,Igor Belanov (P) · 111,,,,,,,,,,,,,['65&rsquor;|1:1|Michel Renquin'],"['72&rsquor;|2:1|Sergey Rodionov|for Oleksandr Zavarov', '79&rsquor;|2:2|Vadym Yevtushenko|for Pavlo Yakovenko']","['99&rsquor;|2:2|Lei Clijsters|for Georges Grün', '112&rsquor;|3:4|Leo Van der Elst|for Eric Gerets']"
Scotland,Uruguay,0,0,20000,"Neza, Nezahualcoyotl",Group stage,13-06-1986,0–0,Mexico,1986,,,,,,,,,,,,,,,José Batista · 1,,,"['48&rsquor;|0:0|David Narey', '62&rsquor;|0:0|Steve Nicol']","['32&rsquor;|0:0|Wilmar Cabrera', '72&rsquor;|0:0|Víctor Diogo', '87&rsquor;|0:0|Fernando Álvez']","['70&rsquor;|0:0|Charlie Nicholas', '70&rsquor;|0:0|Davie Cooper|for Steve Nicol']","['70&rsquor;|0:0|Mario Saralegui|for Venancio Ramos', '84&rsquor;|0:0|Antonio Alzamendi|for Enzo Francescoli']"
Denmark,West Germany,2,0,36000,"Estadio Corregidora, Queretaro",Group stage,13-06-1986,2–0,Mexico,1986,,['62&rsquor;|2:0|John Eriksen'],,,,Jesper Olsen (P) · 43,,,,,,,,Frank Arnesen · 88,,,,['36&rsquor;|0:0|Frank Arnesen'],"['48&rsquor;|1:0|Norbert Eder', '51&rsquor;|1:0|Ditmar Jakobs']","['46&rsquor;|1:0|John Eriksen|for Preben Elkjær', '71&rsquor;|2:0|Allan Simonsen|for Jesper Olsen']","['46&rsquor;|1:0|Pierre Littbarski|for Wolfgang Rolff', '71&rsquor;|2:0|Karl-Heinz Rummenigge|for Karlheinz Förster']"
Algeria,Spain,0,3,23980,"Tecnologico, Monterrey",Group stage,12-06-1986,0–3,Mexico,1986,Ramón Calderé · 15|Ramón Calderé · 68|Eloy Olaya · 70,,"['15&rsquor;|0:1|Ramón Calderé', '68&rsquor;|0:2|Ramón Calderé', '70&rsquor;|0:3|Eloy Olaya']",,,,,,,,,,,,,,,['33&rsquor;|0:1|Rabah Madjer'],['89&rsquor;|0:3|Andoni Goikoetxea'],"['20&rsquor;|0:1|Larbi El Hadi|for Nacerdine Drid', '58&rsquor;|0:1|Djamel Menad|for Djamel Zidane']","['46&rsquor;|0:1|Eloy Olaya|for Emilio Butragueño', '63&rsquor;|0:1|Juan Antonio Señor']"
Northern Ireland,Brazil,0,3,51000,"Jalisco, Guadalajara",Group stage,12-06-1986,0–3,Mexico,1986,Careca · 15|Josimar · 42|Careca · 87,,"['15&rsquor;|0:1|Careca', '42&rsquor;|0:2|Josimar', '87&rsquor;|0:3|Careca']",,,,,,,,,,,,,,,['12&rsquor;|0:0|Mal Donaghy'],,"['67&rsquor;|0:2|Billy Hamilton|for Norman Whiteside', '71&rsquor;|0:2|Gerry Armstrong|for David Campbell']","['27&rsquor;|0:1|Walter Casagrande|for Müller', '68&rsquor;|0:2|Zico|for Sócrates']"
Paraguay,Belgium,2,2,16000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,11-06-1986,2–2,Mexico,1986,Franky Vercauteren · 30|Daniel Veyt · 59,"['50&rsquor;|1:1|Roberto Cabañas', '76&rsquor;|2:2|Roberto Cabañas']","['30&rsquor;|0:1|Franky Vercauteren', '59&rsquor;|1:2|Daniel Veyt']",,,,,,,,,,,,,,,['55&rsquor;|1:1|Julio César Romero'],['55&rsquor;|1:1|Jan Ceulemans'],['68&rsquor;|1:2|Ramón Hicks|for Alfredo Mendoza'],['89&rsquor;|2:2|Franky Van der Elst']
Iraq,Mexico,0,1,103763,"Estadio Azteca, Mexico City",Group stage,11-06-1986,0–1,Mexico,1986,Fernando Quirarte · 54,,['54&rsquor;|0:1|Fernando Quirarte'],,,,,,,,,,,,,,,"['30&rsquor;|0:0|Karim Saddam', '73&rsquor;|0:1|Khalil Allawi']",,"['60&rsquor;|0:1|Rahim Hameed|for Natik Hashim', '70&rsquor;|0:1|Shaker Mahmoud|for Anad Abid']","['62&rsquor;|0:1|Alejandro Domínguez|for Rafael Amador', '79&rsquor;|0:1|Francisco Javier Cruz|for Carlos de los Cobos']"
England,Poland,3,0,22700,"Tecnologico, Monterrey",Group stage,11-06-1986,3–0,Mexico,1986,,"['9&rsquor;|1:0|Gary Lineker', '14&rsquor;|2:0|Gary Lineker', '34&rsquor;|3:0|Gary Lineker']",,,,,,,,,,,,,,,,['52&rsquor;|3:0|Terry Fenwick'],,"['75&rsquor;|3:0|Chris Waddle', '86&rsquor;|3:0|Kerry Dixon|for Gary Lineker']","['22&rsquor;|2:0|Jan Karaś|for Ryszard Komornicki', '46&rsquor;|3:0|Andrzej Buncol|for Waldemar Matysik']"
Portugal,Morocco,1,3,28000,"Tres de Marzo, Guadalajara",Group stage,11-06-1986,1–3,Mexico,1986,Abderrazak Khairi · 19|Abderrazak Khairi · 27|Abdelkrim Merry · 62,['79&rsquor;|1:3|Diamantino Miranda'],"['19&rsquor;|0:1|Abderrazak Khairi', '27&rsquor;|0:2|Abderrazak Khairi', '62&rsquor;|0:3|Abdelkrim Merry']",,,,,,,,,,,,,,,['64&rsquor;|0:3|Fernando Gomes'],,"['55&rsquor;|0:2|Rui Águas|for Álvaro Magalhães', '69&rsquor;|0:3|Diamantino Miranda|for António Sousa']",['71&rsquor;|0:3|Abdelaziz Souleimani']
Argentina,Bulgaria,2,0,65000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,10-06-1986,2–0,Mexico,1986,,"['3&rsquor;|1:0|Jorge Valdano', '76&rsquor;|2:0|Jorge Burruchaga']",,,,,,,,,,,,,,,,['25&rsquor;|1:0|José Luis Cuciuffo'],,"['46&rsquor;|1:0|Héctor Enrique|for Claudio Borghi', '46&rsquor;|1:0|Julio Olarticoechea|for Sergio Batista']","['52&rsquor;|1:0|Boycho Velichkov|for Stoycho Mladenov', '71&rsquor;|1:0|Radoslav Zdravkov']"
Korea Republic,Italy,2,3,20000,"Cuauhtemoc, Puebla",Group stage,10-06-1986,2–3,Mexico,1986,Alessandro Altobelli · 17|Alessandro Altobelli · 73,"['62&rsquor;|1:1|Choi Soon-ho', '83&rsquor;|2:3|Huh Jung-moo']","['17&rsquor;|0:1|Alessandro Altobelli', '73&rsquor;|1:2|Alessandro Altobelli']",,Cho Kwang-rae (OG) · 82,,,,,,,,,,,,,"['17&rsquor;|0:0|Kim Joo-sung', '35&rsquor;|0:1|Park Kyung-hoon', '71&rsquor;|1:1|Cho Young-jeung']","['31&rsquor;|0:1|Salvatore Bagni', '65&rsquor;|1:1|Gaetano Scirea', '70&rsquor;|1:1|Pietro Vierchowod']","['46&rsquor;|0:1|Chung Jong-soo|for Kim Joo-sung', '70&rsquor;|1:1|Kim Jong-boo|for Byun Byung-joo']","['67&rsquor;|1:1|Giuseppe Baresi', '88&rsquor;|2:3|Gianluca Vialli|for Giuseppe Galderisi']"
Soviet Union,Canada,2,0,14200,"Estadio Irapuato, Irapuato",Group stage,09-06-1986,2–0,Mexico,1986,,"['58&rsquor;|1:0|Oleh Blokhin', '74&rsquor;|2:0|Oleksandr Zavarov']",,,,,,,,,,,,,,,,,,"['57&rsquor;|0:0|Igor Belanov|for Oleh Protasov', '62&rsquor;|1:0|Oleksandr Zavarov|for Oleh Blokhin']","['64&rsquor;|1:0|Branko Šegota|for Paul James', '69&rsquor;|1:0|George Pakos|for Gerry Gray']"
Hungary,France,0,3,31420,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,09-06-1986,0–3,Mexico,1986,Yannick Stopyra · 29|Jean Tigana · 62|Dominique Rocheteau · 84,,"['29&rsquor;|0:1|Yannick Stopyra', '62&rsquor;|0:2|Jean Tigana', '84&rsquor;|0:3|Dominique Rocheteau']",,,,,,,,,,,,,,,,"['41&rsquor;|0:1|William Ayache', '69&rsquor;|0:2|Dominique Rocheteau']","['46&rsquor;|0:1|Antal Nagy|for Péter Hannich', '65&rsquor;|0:2|György Bognár|for Kálmán Kovács']","['61&rsquor;|0:1|Dominique Rocheteau|for Jean-Pierre Papin', '71&rsquor;|0:2|Jean-Marc Ferreri|for Yannick Stopyra']"
West Germany,Scotland,2,1,30000,"Estadio Corregidora, Queretaro",Group stage,08-06-1986,2–1,Mexico,1986,Gordon Strachan · 18,"['22&rsquor;|1:1|Rudi Völler', '50&rsquor;|2:1|Klaus Allofs']",['18&rsquor;|0:1|Gordon Strachan'],,,,,,,,,,,,,,,,"['30&rsquor;|1:1|Steve Archibald', '44&rsquor;|1:1|Eamonn Bannon', '74&rsquor;|2:1|Maurice Malpas']","['63&rsquor;|2:1|Ditmar Jakobs|for Hans-Peter Briegel', '76&rsquor;|2:1|Karl-Heinz Rummenigge|for Pierre Littbarski']","['60&rsquor;|2:1|Frank McAvennie|for Steve Nicol', '74&rsquor;|2:1|Davie Cooper|for Eamonn Bannon']"
Iraq,Belgium,1,2,20000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,08-06-1986,1–2,Mexico,1986,Enzo Scifo · 16,['59&rsquor;|1:2|Ahmed Radhi'],['16&rsquor;|0:1|Enzo Scifo'],,,,Nico Claesen (P) · 21,,,,,,,,,Basil Gorgis · 52,,"['1&rsquor;|0:0|Basil Gorgis', '20&rsquor;|0:1|Raad Hammoudi', '29&rsquor;|0:2|Nadhum Shaker', '42&rsquor;|0:2|Haris Mohammed', '48&rsquor;|0:2|Samir Shaker', '65&rsquor;|1:2|Natik Hashim']",['16&rsquor;|0:1|Nico Claesen'],['81&rsquor;|1:2|Rahim Hameed|for Karim Saddam'],"['67&rsquor;|1:2|Lei Clijsters|for Enzo Scifo', '69&rsquor;|1:2|Georges Grün|for Stéphane Demol']"
Denmark,Uruguay,6,1,26500,"Neza, Nezahualcoyotl",Group stage,08-06-1986,6–1,Mexico,1986,,"['11&rsquor;|1:0|Preben Elkjær', '41&rsquor;|2:0|Søren Lerby', '52&rsquor;|3:1|Michael Laudrup', '67&rsquor;|4:1|Preben Elkjær', '80&rsquor;|5:1|Preben Elkjær', '88&rsquor;|6:1|Jesper Olsen']",,,,,Enzo Francescoli (P) · 45,,,,,,,,Miguel Bossio · 19,,,['7&rsquor;|0:0|Ivan Nielsen'],"['13&rsquor;|1:0|Miguel Bossio', '35&rsquor;|1:0|Jorge Orosmán da Silva']","['57&rsquor;|3:1|Jan Mølby|for Jens Jørn Bertelsen', '81&rsquor;|5:1|Jesper Olsen|for Michael Laudrup']","['57&rsquor;|3:1|José Zalazar|for Sergio Santín', '57&rsquor;|3:1|Venancio Ramos|for Antonio Alzamendi']"
Mexico,Paraguay,1,1,114600,"Estadio Azteca, Mexico City",Group stage,07-06-1986,1–1,Mexico,1986,Julio César Romero · 85,['3&rsquor;|1:0|Luis Flores'],['85&rsquor;|1:1|Julio César Romero'],,,,,,,,,,,,,,,"['26&rsquor;|1:0|Manuel Negrete Arias', '75&rsquor;|1:0|Hugo Sánchez', '80&rsquor;|1:0|Mario Trejo']","['5&rsquor;|1:0|Alfredo Mendoza', '30&rsquor;|1:0|Vladimiro Schettina']","['58&rsquor;|1:0|Miguel España|for Tomás Boy', '77&rsquor;|1:0|Francisco Javier Cruz|for Luis Flores']","['62&rsquor;|1:0|Jorge Guasch|for Alfredo Mendoza', '80&rsquor;|1:0|Ramón Hicks|for Juan Torales']"
Northern Ireland,Spain,1,2,28000,"Tres de Marzo, Guadalajara",Group stage,07-06-1986,1–2,Mexico,1986,Emilio Butragueño · 2|Julio Salinas · 18,['47&rsquor;|1:2|Colin Clarke'],"['2&rsquor;|0:1|Emilio Butragueño', '18&rsquor;|0:2|Julio Salinas']",,,,,,,,,,,,,,,['85&rsquor;|1:2|Billy Hamilton'],['50&rsquor;|1:2|Víctor Muñoz'],"['54&rsquor;|1:2|Ian Stewart|for Steve Penney', '70&rsquor;|1:2|Billy Hamilton']","['54&rsquor;|1:2|Ramón Calderé|for Rafael Gordillo', '78&rsquor;|1:2|Juan Antonio Señor|for Julio Salinas']"
Poland,Portugal,1,0,19915,"Estadio Universitario, Monterrey",Group stage,07-06-1986,1–0,Mexico,1986,,['68&rsquor;|1:0|Włodzimierz Smolarek'],,,,,,,,,,,,,,,,"['46&rsquor;|0:0|Roman Wójcicki', '89&rsquor;|1:0|Dariusz Dziekanowski']",,"['57&rsquor;|0:0|Jan Karaś|for Ryszard Komornicki', '74&rsquor;|1:0|Andrzej Zgutczyński']","['46&rsquor;|0:0|Paulo Futre|for Fernando Gomes', '72&rsquor;|1:0|Jaime Magalhães|for António André']"
Brazil,Algeria,1,0,48000,"Jalisco, Guadalajara",Group stage,06-06-1986,1–0,Mexico,1986,,['66&rsquor;|1:0|Careca'],,,,,,,,,,,,,,,,,,"['10&rsquor;|0:0|Paulo Roberto Falcão|for Édson Boaro', '59&rsquor;|0:0|Müller|for Walter Casagrande']","['68&rsquor;|1:0|Tedj Bensaoula|for Salah Assad', '80&rsquor;|1:0|Djamel Zidane|for Lakhdar Belloumi']"
Hungary,Canada,2,0,13800,"Estadio Irapuato, Irapuato",Group stage,06-06-1986,2–0,Mexico,1986,,"['2&rsquor;|1:0|Márton Esterházy', '75&rsquor;|2:0|Lajos Détári']",,,,,,,,,,,,,Mike Sweeney · 85,,,,"['52&rsquor;|1:0|Mike Sweeney', '83&rsquor;|2:0|Bob Lenarduzzi']","['28&rsquor;|1:0|Antal Róth|for Győző Burcsa', '62&rsquor;|1:0|László Dajka']","['41&rsquor;|1:0|Mike Sweeney|for Bruce Wilson', '53&rsquor;|1:0|Branko Šegota|for Paul James']"
England,Morocco,0,0,20200,"Tecnologico, Monterrey",Group stage,06-06-1986,0–0,Mexico,1986,,,,,,,,,,,,,,Ray Wilkins · 42,,,,"['40&rsquor;|0:0|Ray Wilkins', '68&rsquor;|0:0|Mark Hateley']","['50&rsquor;|0:0|Labid Khalifa', '76&rsquor;|0:0|Abderrazak Khairi']","['41&rsquor;|0:0|Steve Hodge|for Bryan Robson', '76&rsquor;|0:0|Gary Stevens']","['73&rsquor;|0:0|Lahcen Ouadani|for Abdelmajid Lamriss', '87&rsquor;|0:0|Abdelaziz Souleimani|for Mustafa Merry']"
Italy,Argentina,1,1,32000,"Cuauhtemoc, Puebla",Group stage,05-06-1986,1–1,Mexico,1986,Diego Maradona · 34,,['34&rsquor;|1:1|Diego Maradona'],,,Alessandro Altobelli (P) · 6,,,,,,,,,,,,['54&rsquor;|1:1|Giuseppe Bergomi'],"['58&rsquor;|1:1|Ricardo Giusti', '65&rsquor;|1:1|Oscar Garré']","['65&rsquor;|1:1|Gianluca Vialli|for Bruno Conti', '87&rsquor;|1:1|Giuseppe Baresi|for Fernando De Napoli']","['59&rsquor;|1:1|Julio Olarticoechea|for Sergio Batista', '74&rsquor;|1:1|Héctor Enrique|for Claudio Borghi']"
France,Soviet Union,1,1,36540,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,05-06-1986,1–1,Mexico,1986,Vasyl Rats · 53,['62&rsquor;|1:1|Luis Fernández'],['53&rsquor;|0:1|Vasyl Rats'],,,,,,,,,,,,,,,"['40&rsquor;|0:0|Luis Fernández', '43&rsquor;|0:0|Manuel Amoros']","['30&rsquor;|0:0|Vasyl Rats', '33&rsquor;|0:0|Igor Belanov']","['76&rsquor;|1:1|Bruno Bellone|for Jean-Pierre Papin', '83&rsquor;|1:1|Philippe Vercruysse|for Alain Giresse']","['58&rsquor;|0:1|Oleh Blokhin|for Oleksandr Zavarov', '68&rsquor;|1:1|Sergey Rodionov']"
Korea Republic,Bulgaria,1,1,45000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,05-06-1986,1–1,Mexico,1986,Plamen Getov · 11,['70&rsquor;|1:1|Kim Jong-boo'],['11&rsquor;|0:1|Plamen Getov'],,,,,,,,,,,,,,,"['31&rsquor;|0:1|Kim Joo-sung', '60&rsquor;|0:1|Cho Young-jeung']",['49&rsquor;|0:1|Zhivko Gospodinov'],"['46&rsquor;|0:1|Kim Jong-boo|for Noh Soo-jin', '72&rsquor;|1:1|Cho Min-kook|for Cho Kwang-rae']","['46&rsquor;|0:1|Kostadin Kostadinov|for Bozhidar Iskrenov', '58&rsquor;|0:1|Andrey Zhelyazkov|for Plamen Getov']"
Paraguay,Iraq,1,0,24000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,04-06-1986,1–0,Mexico,1986,,['35&rsquor;|1:0|Julio César Romero'],,,,,,,,,,,,,,,,['45&rsquor;|1:0|Vladimiro Schettina'],['29&rsquor;|0:0|Samir Shaker'],['88&rsquor;|1:0|Jorge Guasch|for Alfredo Mendoza'],"['67&rsquor;|1:0|Rahim Hameed|for Haris Mohammed', '81&rsquor;|1:0|Basim Qasim|for Basil Gorgis']"
Uruguay,West Germany,1,1,30500,"Estadio Corregidora, Queretaro",Group stage,04-06-1986,1–1,Mexico,1986,Klaus Allofs · 84,['4&rsquor;|1:0|Antonio Alzamendi'],['84&rsquor;|1:1|Klaus Allofs'],,,,,,,,,,,,,,,"['28&rsquor;|1:0|Víctor Diogo', '62&rsquor;|1:0|Mario Saralegui']",,"['56&rsquor;|1:0|Mario Saralegui|for Jorge Barrios', '80&rsquor;|1:0|Venancio Ramos|for Antonio Alzamendi']","['46&rsquor;|1:0|Pierre Littbarski|for Andreas Brehme', '70&rsquor;|1:0|Karl-Heinz Rummenigge|for Lothar Matthäus']"
Scotland,Denmark,0,1,18000,"Neza, Nezahualcoyotl",Group stage,04-06-1986,0–1,Mexico,1986,Preben Elkjær · 57,,['57&rsquor;|0:1|Preben Elkjær'],,,,,,,,,,,,,,,,['84&rsquor;|0:1|Klaus Berggreen'],"['61&rsquor;|0:1|Frank McAvennie|for Paul Sturrock', '74&rsquor;|0:1|Eamonn Bannon|for Gordon Strachan']","['74&rsquor;|0:1|John Sivebæk|for Frank Arnesen', '80&rsquor;|0:1|Jan Mølby|for Jesper Olsen']"
Belgium,Mexico,1,2,110000,"Estadio Azteca, Mexico City",Group stage,03-06-1986,1–2,Mexico,1986,Fernando Quirarte · 23|Hugo Sánchez · 39,['45&rsquor;|1:2|Erwin Vandenbergh'],"['23&rsquor;|0:1|Fernando Quirarte', '39&rsquor;|0:2|Hugo Sánchez']",,,,,,,,,,,,,,,['56&rsquor;|1:2|Franky Van der Elst'],"['23&rsquor;|0:1|Hugo Sánchez', '83&rsquor;|1:2|Carlos Muñoz']","['60&rsquor;|1:2|Nico Claesen|for Philippe Desmet', '66&rsquor;|1:2|Stéphane Demol|for Erwin Vandenbergh']","['69&rsquor;|1:2|Miguel España|for Tomás Boy', '79&rsquor;|1:2|Francisco Javier Cruz|for Luis Flores']"
Algeria,Northern Ireland,1,1,22000,"Tres de Marzo, Guadalajara",Group stage,03-06-1986,1–1,Mexico,1986,Norman Whiteside · 6,['59&rsquor;|1:1|Djamel Zidane'],['6&rsquor;|0:1|Norman Whiteside'],,,,,,,,,,,,,,,['36&rsquor;|0:1|Faouzi Mansouri'],"['58&rsquor;|0:1|Nigel Worthington', '78&rsquor;|1:1|Sammy McIlroy', '79&rsquor;|1:1|Norman Whiteside']","['33&rsquor;|0:1|Rachid Harkouk|for Rabah Madjer', '71&rsquor;|1:1|Lakhdar Belloumi']","['67&rsquor;|1:1|Ian Stewart|for Steve Penney', '81&rsquor;|1:1|Colin Clarke|for Norman Whiteside']"
Portugal,England,1,0,23000,"Tecnologico, Monterrey",Group stage,03-06-1986,1–0,Mexico,1986,,['75&rsquor;|1:0|Carlos Manuel'],,,,,,,,,,,,,,,,['88&rsquor;|1:0|Jaime Pacheco'],"['17&rsquor;|0:0|Terry Fenwick', '78&rsquor;|1:0|Terry Butcher']","['73&rsquor;|0:0|Paulo Futre|for Fernando Gomes', '82&rsquor;|1:0|José António Bargiela|for Diamantino Miranda']","['80&rsquor;|1:0|Steve Hodge|for Chris Waddle', '80&rsquor;|1:0|Peter Beardsley|for Bryan Robson']"
Soviet Union,Hungary,6,0,16500,"Estadio Irapuato, Irapuato",Group stage,02-06-1986,6–0,Mexico,1986,,"['2&rsquor;|1:0|Pavlo Yakovenko', '4&rsquor;|2:0|Sergei Aleinikov', '66&rsquor;|4:0|Ivan Yaremchuk', '80&rsquor;|6:0|Sergey Rodionov']",,László Dajka (OG) · 73,,Igor Belanov (P) · 24,,,,,,,,,,,,,,"['69&rsquor;|4:0|Sergey Rodionov', '72&rsquor;|4:0|Vadym Yevtushenko|for Pavlo Yakovenko']","['13&rsquor;|2:0|Győző Burcsa|for Antal Róth', '62&rsquor;|3:0|László Dajka|for Zoltán Péter']"
Argentina,Korea Republic,3,1,60000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,02-06-1986,3–1,Mexico,1986,Park Chang-sun · 73,"['6&rsquor;|1:0|Jorge Valdano', '18&rsquor;|2:0|Oscar Ruggeri', '46&rsquor;|3:0|Jorge Valdano']",['73&rsquor;|3:1|Park Chang-sun'],,,,,,,,,,,,,,,,"['44&rsquor;|2:0|Huh Jung-moo', '50&rsquor;|3:0|Park Chang-sun']","['74&rsquor;|3:1|Carlos Daniel Tapia|for Pedro Pasculli', '75&rsquor;|3:1|Julio Olarticoechea|for Sergio Batista']","['23&rsquor;|2:0|Cho Kwang-rae|for Kim Pyung-seok', '46&rsquor;|3:0|Byun Byung-joo|for Kim Yong-se']"
Morocco,Poland,0,0,19900,"Estadio Universitario, Monterrey",Group stage,02-06-1986,0–0,Mexico,1986,,,,,,,,,,,,,,,,,,['33&rsquor;|0:0|Mohamed Timoumi'],,"['87&rsquor;|0:0|Abdelaziz Souleimani|for Mustafa El Haddaoui', '88&rsquor;|0:0|Abderrazak Khairi|for Mohamed Timoumi']","['46&rsquor;|0:0|Kazimierz Przybyś|for Dariusz Kubicki', '56&rsquor;|0:0|Jan Urban|for Dariusz Dziekanowski']"
Spain,Brazil,0,1,35748,"Jalisco, Guadalajara",Group stage,01-06-1986,0–1,Mexico,1986,Sócrates · 62,,['62&rsquor;|0:1|Sócrates'],,,,,,,,,,,,,,,['4&rsquor;|0:0|Julio Alberto Moreno'],['82&rsquor;|0:1|Branco'],['82&rsquor;|0:1|Juan Antonio Señor|for Francisco'],"['66&rsquor;|0:1|Müller|for Walter Casagrande', '79&rsquor;|0:1|Paulo Roberto Falcão|for Leovegildo Lins da Gama Júnior']"
Canada,France,0,1,65500,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,01-06-1986,0–1,Mexico,1986,Jean-Pierre Papin · 79,,['79&rsquor;|0:1|Jean-Pierre Papin'],,,,,,,,,,,,,,,,,"['54&rsquor;|0:0|Jamie Lowery|for Mike Sweeney', '81&rsquor;|0:1|Branko Šegota|for Paul James']",['70&rsquor;|0:0|Yannick Stopyra|for Dominique Rocheteau']
Bulgaria,Italy,1,1,96000,"Estadio Azteca, Mexico City",Group stage,31-05-1986,1–1,Mexico,1986,Alessandro Altobelli · 43,['85&rsquor;|1:1|Nasko Sirakov'],['43&rsquor;|0:1|Alessandro Altobelli'],,,,,,,,,,,,,,,['51&rsquor;|0:1|Aleksandar Markov'],"['48&rsquor;|0:1|Giuseppe Bergomi', '64&rsquor;|0:1|Antonio Cabrini']","['65&rsquor;|0:1|Kostadin Kostadinov|for Bozhidar Iskrenov', '74&rsquor;|0:1|Andrey Zhelyazkov']",['65&rsquor;|0:1|Gianluca Vialli|for Bruno Conti']
Italy,West Germany,3,1,90000,"Santiago Bernabeu, Madrid",Final,11-07-1982,3–1,Spain,1982,Paul Breitner · 83,"['57&rsquor;|1:0|Paolo Rossi', '69&rsquor;|2:0|Marco Tardelli', '81&rsquor;|3:0|Alessandro Altobelli']",['83&rsquor;|3:1|Paul Breitner'],,,,,,,,,,,,,,,"['31&rsquor;|0:0|Bruno Conti', '73&rsquor;|2:0|Gabriele Oriali']","['61&rsquor;|1:0|Wolfgang Dremmler', '73&rsquor;|2:0|Uli Stielike', '88&rsquor;|3:1|Pierre Littbarski']","['7&rsquor;|0:0|Alessandro Altobelli|for Francesco Graziani', '89&rsquor;|3:1|Franco Causio|for Alessandro Altobelli']","['62&rsquor;|1:0|Horst Hrubesch|for Wolfgang Dremmler', '70&rsquor;|2:0|Hansi Müller']"
Poland,France,3,2,28000,"Jose Rico Perez, Alicante",Third-place match,10-07-1982,3–2,Spain,1982,René Girard · 13|Alain Couriol · 72,"['40&rsquor;|1:1|Andrzej Szarmach', '44&rsquor;|2:1|Stefan Majewski', '46&rsquor;|3:1|Janusz Kupcewicz']","['13&rsquor;|0:1|René Girard', '72&rsquor;|3:2|Alain Couriol']",,,,,,,,,,,,,,,"['62&rsquor;|3:1|Andrzej Buncol', '71&rsquor;|3:1|Roman Wójcicki']",['79&rsquor;|3:2|Gérard Soler'],['46&rsquor;|3:1|Roman Wójcicki|for Waldemar Matysik'],"['66&rsquor;|3:1|Christian Lopez|for Gérard Janvion', '83&rsquor;|3:2|Didier Six|for Jean Tigana']"
Poland,Italy,0,2,50000,"Camp Nou, Barcelona",Semi-finals,08-07-1982,0–2,Spain,1982,Paolo Rossi · 22|Paolo Rossi · 73,,"['22&rsquor;|0:1|Paolo Rossi', '73&rsquor;|0:2|Paolo Rossi']",,,,,,,,,,,,,,,"['43&rsquor;|0:1|Stefan Majewski', '51&rsquor;|0:1|Władysław Żmuda', '57&rsquor;|0:1|Włodzimierz Smolarek']",['57&rsquor;|0:1|Fulvio Collovati'],"['46&rsquor;|0:1|Andrzej Pałasz|for Włodzimierz Ciołek', '77&rsquor;|0:2|Marek Kusto|for Włodzimierz Smolarek']","['28&rsquor;|0:1|Gianpiero Marini|for Giancarlo Antognoni', '70&rsquor;|0:1|Alessandro Altobelli|for Francesco Graziani']"
